post	target	implied_statement
it's statues now . eventually it will be calls to ban vanilla ice cream  white bed sheets  and to denounce snow as racist . insanity .	Minorities	Minorities want to destroy white culture
anti-racist activist raped by non-white illegal immigrant after attending anti-racism festival | read more :	non-white immigrants	Non-white immigrants are racist.
anti-racist activist raped by non-white illegal immigrant after attending anti-racism festival | read more :	Illegals	Illegals are dangerous criminals
had delhi not voted for & his party by now he would hv been in jail on charges of getting foreign funds from isi for anarchy	Indians	Indians are corrupt thieves.
obama to announce amnesty in las vegas . no better place to gamble away our countrys future . #noamnesty #trueimmigrationreform #vegas	immigrants	immigrants are a threat to the country.
" the  "" holocaust "" "" is so bogus . #freehorstmahler """	Jews	Jews are liars.
" the  "" holocaust "" "" is so bogus . #freehorstmahler """	Jews	Jews are liars
your wrong and the white guilt agenda you push is what woke me . must suck to not even know your actions are not of your own  but socially engineered . now dance robot	white people	White people are guilty.
your wrong and the white guilt agenda you push is what woke me . must suck to not even know your actions are not of your own  but socially engineered . now dance robot	Minorities	Minorities push white self-hatred
74 % of terrorist attacks in the us come from you - us nazis and white supremacists / christi	Neo Nazis and white supremacist	Neo Nazis and white Supremacists are terrorists
74 % of terrorist attacks in the us come from you - us nazis and white supremacists / christi	White people	White people are violent and terrorists
because jews meddle too much  white christians gave 60 + million lives	Jews	Jews are always in other people's business.
because jews meddle too much  white christians gave 60 + million lives	Jews	Jews are devious
- mosloms call us racist  i am starting to think they should be classified that way  as a race  not a religion .	Muslims	Muslims are bigots
4396 white murderers  5375 black murderers . all the while blacks are 13 % of the country's population .	black people	Black people kill more than white people.
4396 white murderers  5375 black murderers . all the while blacks are 13 % of the country's population .	Blacks	Blacks are dangerous killers
jews push 4immigration and white genocide :	Jews	Jews advocate for an end to whites.
jews push 4immigration and white genocide :	Jews	Jews don't like white people.
your hate for others gives me the strength to join and be proud to be a white male again .	white people	White people should be proud of their races.
your hate for others gives me the strength to join and be proud to be a white male again .	Minorities	Minorities are subhuman
and the fact that there were more white slaves in the middle east than black slaves in america	Arabs	Arabs are hypocrites
and the fact that there were more white slaves in the middle east than black slaves in america	white people	White people are used as slaves.
tell us will you be practicing sharia gender segregation ? illegal .	Muslims	Muslims disrespect women
black people have never formed a civilized society on their own without the help of white people .	Black people	Black people are unintelligent
black people have never formed a civilized society on their own without the help of white people .	Black people	Black people are incapable and inferior to white people
